QID,CID,Category & chapter,Question,Answer format,Answer format guidance,Info and guidance,Answer options,1-7 Explanations,How this answer will be used
00000,15,Background & Lifestyle,What is your email?,Open response,Enter a valid email address.,Use an inbox you actually check. Pick a private one if you don't want this report landing next to work or shared mail.,Email address,N/A,Used to deliver your report and any relevant LoveIQ communication.
00001,15,Background & Lifestyle,What is your name?,Open response,Enter a name or nickname.,"Whatever you'd like us to call you in your report — first name, initials, or a nickname is fine.",Free text,N/A,Used to personalize your report and communication.
01002,1,Current Sexual Wellbeing & Pain Points,"Right now, I feel satisfied with my sex life.",1-7 scale,Select how true this statement is for you.,"Think about the last 1–2 months overall, not your best or worst day. If you're not having sex right now, rate how you feel about that.","1 = Not true at all
2 = Mostly not true
3 = Slightly not true
4 = Mixed / depends
5 = Slightly true
6 = Mostly true
7 = Very true","1 = Not true at all: your current sexual life feels clearly unfulfilling, frustrating, painful, absent, or far from what you want.
2 = Mostly not true: more of your current experience feels lacking than fulfilling, and dissatisfaction is a noticeable part of your reality.
3 = Slightly not true: some parts may work, but there is enough frustration, inconsistency, or disappointment to pull your overall satisfaction down.
4 = Mixed / depends: some parts feel okay or satisfying, while others feel lacking, unclear, inconsistent, or only partly fulfilling.
5 = Slightly true: your sexual life feels more satisfying than not, even if some frustrations, gaps, or unmet needs remain.
6 = Mostly true: most of your sexual life feels good, aligned, and meaningfully fulfilling, with only limited dissatisfaction.
7 = Very true: your current sexual life feels deeply fulfilling, aligned, and broadly good for you overall.",Provides baseline context for interpreting your report. This does not directly define your archetype.
01005,1,Current Sexual Wellbeing & Pain Points,"I want more variety — new positions, places, fantasies, or kinds of sex.",1-7 scale,Select how true this statement is for you.,"""Variety"" can mean new acts, fantasies, locations, pacing, or roles — anything that breaks the same-old pattern.","1 = Not true at all
2 = Mostly not true
3 = Slightly not true
4 = Mixed / depends
5 = Slightly true
6 = Mostly true
7 = Very true","1 = Not true at all: familiarity, steadiness, and known patterns usually feel more satisfying to you than novelty or change.
2 = Mostly not true: you may enjoy occasional variation, but novelty is usually not an important driver of your sexuality.
3 = Slightly not true: some variety appeals to you at times, though you generally lean more toward familiarity than change.
4 = Mixed / depends: variety matters in some situations, but it is not a major or consistent driver of your sexuality.
5 = Slightly true: novelty does matter to you, and some freshness or variation can noticeably improve your sexual experience.
6 = Mostly true: newness, change, or experimentation are often important parts of what keeps sexuality engaging for you.
7 = Very true: novelty, variety, experimentation, or freshness are strong and recurring parts of what keeps sexuality alive for you.",Helps estimate whether your erotic style leans more toward novelty-seeking or familiarity and steadiness.
01006,1,Current Sexual Wellbeing & Pain Points,Sex often hurts or feels physically bad for me.,1-7 scale,Select how true this statement is for you.,"Include any sexual contact, not only penetration. Answer from your usual recent experience, not one bad time.","1 = Not true at all
2 = Mostly not true
3 = Slightly not true
4 = Mixed / depends
5 = Slightly true
6 = Mostly true
7 = Very true","1 = Not true at all: sex is generally physically comfortable for you, without pain being a meaningful part of the experience.
2 = Mostly not true: discomfort may happen occasionally, but it is uncommon and not a major pattern for you.
3 = Slightly not true: discomfort shows up sometimes, but not often enough to define your sexual experience overall.
4 = Mixed / depends: discomfort or pain shows up in some contexts and matters, but it is not always present.
5 = Slightly true: discomfort is a noticeable part of your experience in certain situations, even if it is not constant.
6 = Mostly true: pain or physical discomfort happens fairly often and meaningfully shapes how sex feels for you.
7 = Very true: discomfort or pain is a frequent, important, or defining part of your sexual experience.","Used to tailor guidance more safely and realistically around comfort, pacing, and pain sensitivity."
02000,2,Spontaneous Desire VS Responsive Desire,"Some people get horny out of nowhere. For others, desire only shows up after touch, flirting, or a clear opening. Both are normal.",,,,,,
02001,2,Spontaneous Desire VS Responsive Desire,"When you wanted sex recently, what usually happened first?",Single choice,Select one option.,"Go with your usual recent pattern, not a one-off. Pick what most often comes before you feel desire.","- Nothing — I just got horny on my own
- Something happened first: touch, flirting, kissing, fantasy, closeness
- Sex was planned, with time and privacy set aside
- It depends — varies by person or situation
- I haven't felt much desire lately",N/A,"Helps identify your primary desire activation pattern, which is important for archetype scoring and recommendation logic."
02002,2,Spontaneous Desire VS Responsive Desire,"My desire only kicks in after touch, kissing, or feeling close — it rarely shows up out of nowhere.",1-7 scale,Select how true this statement is for you.,"This is about how desire usually starts for you. Cues can be physical (touch) or emotional (closeness, flirting, fantasy).","1 = Not true at all
2 = Mostly not true
3 = Slightly not true
4 = Mixed / depends
5 = Slightly true
6 = Mostly true
7 = Very true","1 = Not true at all: desire usually appears on its own, before another person initiates or before affectionate cues are needed.
2 = Mostly not true: affection or initiation can help sometimes, but desire often begins internally without much prompting.
3 = Slightly not true: desire can be helped by affection, though it still often appears without needing much activation from another person.
4 = Mixed / depends: affection or initiation often helps, but desire also begins on its own in other situations.
5 = Slightly true: desire often comes more easily after affection or initiation, even if it does not always require it.
6 = Mostly true: desire usually needs affectionate, relational, or erotic cues before it really starts to build.
7 = Very true: desire usually needs affectionate, relational, or erotic activation before it comes online.",A strong indicator of whether desire tends to be responsive rather than internally self-starting.
02003,2,Spontaneous Desire VS Responsive Desire,I enjoy sex more when it's planned ahead than when it just happens.,1-7 scale,Select how true this statement is for you.,"Answer from what actually feels better in your body, not what sounds more romantic. 'Planned' can mean scheduled or just expected.","1 = Not true at all
2 = Mostly not true
3 = Slightly not true
4 = Mixed / depends
5 = Slightly true
6 = Mostly true
7 = Very true","1 = Not true at all: spontaneity usually feels better, freer, or more energizing to you than planning.
2 = Mostly not true: planning may help occasionally, but spontaneous intimacy is still usually more enjoyable for you.
3 = Slightly not true: you can appreciate planning in some contexts, though you still tend to prefer spontaneity overall.
4 = Mixed / depends: both planning and spontaneity can work, depending on stress, timing, or context.
5 = Slightly true: planned sex often helps your enjoyment, even if spontaneity can still work sometimes.
6 = Mostly true: planned sex usually feels easier, safer, or more successful for you than spontaneous intimacy.
7 = Very true: planned sex usually feels easier, safer, more enjoyable, or more successful than spontaneous intimacy.",Helps determine whether anticipation and structure support desire better than spontaneity.
02004,2,Spontaneous Desire VS Responsive Desire,What kind of starting point usually leads to the best sex for you?,Single choice,Select one option.,"""Starting"" means whoever makes the first move, signals interest, or opens the moment. Pick what works most reliably.","- I'm the one who starts things — I make the first move
- The other person starts things — I respond to them
- It works best when we plan it ahead and both know it's coming
- It happens naturally, with no one having to start",N/A,"Helps distinguish self-starting, partner-led, mutual, and planned initiation patterns."
